program_name,university,region,tier,duration,language,degree_type,internship_required,thesis_required,scholarship,other_info,pros,cons,admission_preference,admission_data_count,admission_data,application_notes,other_notes
NUS DSML,NUS,新加坡,T2,1年,EN,Master of Science (Data Science and Machine Learning),可选择,非必要,奖学金基本只针对新加坡人,DSML,"* 学校层次、环境、花费，移民、人身安全类似cs学院的NUS Mcomp项目
    * 本项目有提前批，如果顺利的话8-9月就能拿到offer
    * 作为 NUS Mcomp的替补，CE可以拿来保底","* 留位费比较高
    * 时长只有1年，相比Mcomp来说短一点
    * 新加坡的物价又涨了。。。",主要看重GPA和学校，如果求稳妥的话，建议学校背景为211以上。,4,"[{'录取时间': '2023.08.15', '录取结果': 'AD', '学校（档次）': '浙江大学', '本科专业': '？', 'GPA/Rank': '89', '科研经历': '无', '实习经历': '无', '其他（语言/推荐信）': '无'}, {'录取时间': '2023.08.15', '录取结果': 'AD', '学校（档次）': '上海财经大学', '本科专业': '数据科学', 'GPA/Rank': '3.66/4', '科研经历': '无', '实习经历': '无', '其他（语言/推荐信）': '托福99'}, {'录取时间': '2023.08.15', '录取结果': 'AD', '学校（档次）': '上海纽约大学', '本科专业': '计算机科学，double major数据科学', 'GPA/Rank': '3.72/4', '科研经历': '3', '实习经历': '1', '其他（语言/推荐信）': '托福111(25)'}, {'录取时间': '2023.08.15', '录取结果': 'AD', '学校（档次）': 'NUS', '本科专业': '', 'GPA/Rank': '4.3/5', '科研经历': '', '实习经历': '4', '其他（语言/推荐信）': '一段助教'}]",null,需要提交两笔留位费，第一笔八月底，第二笔次年1月，每笔5000新币
SMU MITB,SMU,新加坡,T2,1-2 年,EN,MITB Tracks （Master of IT in Business）,是,可选,only for 新加坡人,转码好项目！！！,"* 对于非cs的或者希望转AI方向的人比较友好
    * 由于SMU是商科学校，因此自带实习，对于想要留在新加坡的同学有很大帮助。
    * SMU的校友资源很强大，对于找工十分友好
    * 学校的管理层效率高，很友善，可以避免很多离谱事件发生
    * 老师看得出来是真心愿意好好教学，并且支持搞科研
    * 转phd比其他NUS或者NTU项目要更加smooth一些，个人能力的影响因素占主要，适合愿意搏一搏的同学
    * 课程安排的内容良好，并且教的知识都是比较前沿工业界的，同样也是方便找工人群","* QS 排名劣势，但是在新加坡本地认可度很高，但回国可能选择受限
    * 由于新加坡生活cost进一步上升，预算要提高
    * 新加坡地方小，可能有些同学会无聊
    * 个人能力的影响因素较大，如果没有做好充分找工或者以此为跳板找phd，个人建议还是选名气大学校",主要看学校和成绩，无海本优势。（当然本地生肯定最好）,0,null,"1. 有面试，注意面试准备
    2. 需要GRE成绩，大约313左右
    3. 要交留位费",null
TU Graz CS,TU,欧洲,T2,2年,EN,"Diplom-Ingenieur (Dipl.Ing. or DI),等于 Master of Science (MSc)",否,是,额外奖学金（较难申请）,null,"* 免学费，一学期只要762欧元团结费+学生会费
    * 开设科目众多，课程选择面大
    * 最靠近东欧的CS高校，方便享受东欧的旅游资源
    * 可以自由选择入学时间，学位保留一年，如23winter录取可以自由选择是23winter入学还是24summer入学
    * 高CSrankning低bar，学校注重科研方面培养，有丰富的实验室资源可供使用（已知有个ETH的组内phd来自ETH，EPFL，TUD以及TUGraz）
    * 城市生活成本低
    * 有由当地工业协会提供的额外奖学金（一年8000欧），申请到之后可以很方便于业界交流（申请较难，优先考虑东欧学生）
    ","* 招生人数少，一学期仅有40个
    * 需要APS审核，过程较为繁琐
    * 英语普及率较低
    * 学期时间同德国，为夏，冬季入学，较为不方便同其他国家同学约旅行（以及天然没有复活节假期，在春假范围内）
    * qs排名极低，考虑回国慎选
    ",null,0,null,"填写课程匹配表格相对繁琐
    需要根据提供的课程清单草拟一份想选的课程（但是不会对实际录取产生影响）",null
TU Wien CS,TU,欧洲,T2,2年,EN,Master of Science,null,是,null,null,"* 学费开销低廉，名义上免学费，一学期大概只花七八百欧的注册费
    * 维也纳宜居
    ","* 知名度低
    * 陆本学生需要 APS 审核，过程繁琐
    * 申请时所有材料只能通过邮寄的方式，没有网申渠道，非常麻烦
    * 2023 年底之前中国大陆地区不能做海牙认证，因此申请材料如成绩单、毕业证学位证等需要翻译 + 公证 + 领事双认证。花费高，而且等待时间长
    ",null,0,null,* 不能网申！一切材料只能通过纸质邮寄！确保在申请截止时间之前递交所有申请文件,* 必须拿到毕业证后才能申请，没有条件录取
University of Vienna DS,University,欧洲,T2,2年,EN,Master of Science,null,是,null,null,"* 学费低廉，名义上免学费，实际上每学期只需交 750 欧左右的注册费
    * 维也纳宜居
    ","* 知名度不高
    * 课业压力偏大
    * 对于陆本学生，需要 APS 审核，过程繁琐
    * 对于陆本学生，申请需要成绩单、毕业证等文件进行翻译 + 公证 + 领事认证，耗时长，花费高，麻烦
    * 每年只有 40 个名额
    ",null,0,null,"* 申请网站为：[uspace](https://uspace.univie.ac.at)
    * 对于成绩单之类的文件，上传领事认证后的公证书即可
    * 本项目官网上有提供动机信格式",null
Uppsala CS,Uppsala,欧洲,T2,2年,EN,Master of Science,否,是,null,null,null,null,null,0,null,null,null
UvA&VU CS,UvA&VU,欧洲,T2,2年,EN,Master of Science,否,是,有（较难）,null,"* 23-24学年学费：15580欧，生活费每月1000欧（学校建议1000欧，个人建议按1200准备）
    * 地处荷兰首都阿姆斯特丹，方便实习找工
    * 项目注册通过VU，VU提供第一年的找房服务，覆盖35%的国际新生，拿到offer后尽快缴纳500欧元的住房服务费，并加入排房list
    * 荷兰移民需要连续居住5年，通过融入考试（包括荷兰语），最后一年持有非临时签证（工作签证）
    * 硕士2年+工作3年就能拿荷兰永居/入籍
    * VU&UvA Master of Computer Science有5个方向：https://vu.nl/en/education/master/computer-science
        * Big Data Engineering
        * Foundations of Computing and Concurrency
        * Computer Systems and Infrastructure
        * Systems for Large-Scale Applications
        * Software Engineering and Green IT    
    * Minix操作系统、Python语言诞生地，Dijkstra在此获得博士学位，两校研究水平较高。
    * 课程内容与时俱进，每年根据最新技术进行课程改革，保证技术知识的时效性。
    
    * 读博有待补充","* 租房难
    * 荷兰官方语言为荷兰语，大多数超市商店内都为荷兰语，没有英语国家生活方便。",首先是课程匹配度，其次是均分，有很多跨专业的小伙伴也申上了。,2,"[{'录取时间': '2022年12月18日', '录取结果': 'ad', '学校（档次）': '985', '本科专业': '计算机科学与技术', 'GPA/Rank': '85.6', '科研经历': '无', '实习经历': '小厂', '其他（语言/推荐信）': 'IELTS 6.5(6)'}, {'录取时间': '2022年11月21日', '录取结果': 'ad', '学校（档次）': 'TOP15(CS&SE A+)', '本科专业': '软件工程', 'GPA/Rank': '85', '科研经历': '国家重点实验室', '实习经历': '芯片中厂', '其他（语言/推荐信）': 'IELTS 7.0(6.5)'}]","* 学校会给一个word模板，照着填就行，最后转成pdf提交。
    * 准备内容：CV/动机信/课程描述/英语学术写作材料
    * 不需要推荐信，社恐选手狂喜
    * 23fall 雅思要求已经改为6.5(6.5)","* 无留位费，第一年学费+生活费在4-6月办签证时交。
    * 拿到offer决定去的话，第一时间交钱排房。"
IPP DSAI,IPP,欧洲,TX,null,null,null,null,null,null,null,"* 高排名（2023 QS 49) 而门槛相对很低
    * 师资强大，授课教授人均千引
    * 开课广而深，适合深造
    * 地处帕莱索高原，毗邻Sacaly等科研单位，科研资源丰富，离市中心也不太远
    * 花费相对较低，学费不到2w€
    * 项目包括一年级实习/两个学期内project，经历多
    * 研究导向，但问coordinator就业的学生也很多
    * 法国居留政策很宽松
    * M1大概不到100人
    ","* IPP19年成立，高排名但知名度有限
    * IPP塑料联盟，在行政方面作为其硕士会遇到不少困扰
    * Workload非常大，第一年需要修约20门专业课
    * 法国学制中，第一年升第二年需要再次申请，按说修够学分就行但有风险
    * IPP和Inria，法国国防部等单位合作密切，相关实习多需要zrr审查，对于七子学生风险很大
    * 宿舍紧张，硕士一般需要自己找房
    * 法国的英语环境较差 行政/实习不会法语阻力较大
    ",样例很少，体感985 80+都可以试试,1,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本top15', '本科专业': 'CS', 'GPA/Rank': '3.6/4.0', '科研经历': '一区二作', '实习经历': '无', '其他（语言/推荐信）': 'IELTS 7'}]","* 需要邮箱提交两份推荐信
    * IPP 可以申请多个项目，其中IGD有不少类似的课程（因为主管单位相同），MPRI做Theory，bar很高
    * 有对应的PhD Track，可以两年后选择继续读PhD，且项目安排更舒服/有钱，但需要面试竞争较大
    * 本科毕业一般申请M1，但M2也接受申请","* 法国学制特殊，第一年M1结束后需要申请M2，读完M2才有学位，也可以换个M2读
    * 法国高等教育中，工程师地位较高，作为英语硕士体验相对较低
    * 第一年完成后需要一段实习/科研，并进行一次小答辩
    * 项目/学校很新，不便之处与可取之处都很强，风险偏好型同学可以考虑投资"
KAIST CS,KAIST,日韩/其他,TX,2年,EN,M.S./硕博连读,否,是,国际学生有丰富的奖学金机会,null,"* 良好的世界排名，不断上升的国内名声
    * 科研导向的硕士，KAIST在AI方面一直能产出有影响力的工作
    * 作为国际学生，有多种奖学金，极大降低留学成本
    * 你可以遇见韩国人中相当聪明/努力的peer
    * 体验韩国文化（如果你不喜欢，这就是一个扣分项）
    ","* 位于韩国大田，不是首尔
    ",需要进行陶瓷，如果教授反馈较好可以提升录取几率。,0,null,null,null
KAUST CS Msc,KAUST,日韩/其他,TX,null,EN,Master of Science (Computer Science),否,可选,全奖,null,"* 科研导向的项目，入读即可进组做research
    * 基本没有开销，7w美元左右奖学金，扣完学费生活费可能还有1~2w到手
    * 不错的住宿的硬件设施
    * KAUST沙特划分了专门的军事区域管理，较为安全
    ","* 新学校，名气相对较弱，但也在快速增长中
    * 沙特禁止喝酒
    ","因为奖学金名额有限，提交申请早的同学非常有竞争优势。

    教授可能更希望选择M.S./Ph.D.（硕博连读）的申请人，直接申请M.S.难度更高。（虽然M.S./Ph.D.项目也可以直接硕士就毕业，没必要接着读博）",1,"[{'录取时间': '23fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.9/4.0', '科研经历': '1段校内；1段海外', '实习经历': '2段国内大厂', '其他（语言/推荐信）': 'T105'}]","* 申请不需要申请费，但需要语言送分
    * 申请完成了也不会发送确认邮件","* 面试第一面是考基本大学数学（微积分，线代，概率论）和计算机（OS,算法）
    * 第二面就是聊天（一面二面更详细内容参考 小红书：饶舜 写的面经）"
Keio GSMG,Keio,日韩/其他,TX,2年,EN/JP,Master of Media and Governance,否,是,申请时没有，入学后可以申请（较少）,null,"* 一年多次申请机会，可以选择 4 月或 9 月入学。语言成绩非常宽松，日本申请不需要提交语言成绩，国外申请可以使用大学外语课成绩单来代替（感觉四六级也可以）
    * 需要套磁，研究型导向，可以留组读博，该校区为 WIDE Project 的创办地点，日本互联网之父村井纯曾为该研究科科长，该研究科在计算机网络方向的研究在日本非常知名
    * 日本有不错的名声，日本求职认可度高
    * 体验日本文化（如果你不喜欢，这就是一个扣分项），相对宽松的永居政策","* 授予的学位并不是 CS 学位，由于是复合研究科，可能需要上一些文科课程
    * 不会日语的话，在日本生活比较麻烦
    * 排名较低
    * 需要套磁教授同意后才能报考，申请需要写研究计划书，并且需要邮寄纸质材料，在日本申请需要线下面试，国外申请只需要提交一个讲解研究计划书的视频
    * 科研水平较低（虽然计算机网络方向该研究科在日本比较有名，但是本身日本CS整体的研究和国际相比就显得非常一般）
    * 湘南藤泽校区位于神奈川县藤泽市，离最近的电车站台需要坐公交，交通不方便",全看你和目标教授有没有缘分，只要教授同意你入学，申请成功概率比较高，录取偏好基本取决于教授个人,0,null,* 需要得到教授的内诺才能提交申请，需要邮寄材料,"* CS 主要集中在 X-Design(XD) 和 Cyber Informatics(CI) 这两个分野，研究方向主要有 AI、Computer Network、HCI 等
    * 警惕海王教授"
Keio IGP,Keio,日韩/其他,TX,2年,EN/JP,Master of Science in Engineering,否,是,申请时没有，入学后可以申请（较少）,null,"* 一年两次申请机会，可以选择 4 月或 9 月入学
    * 相比于该大学其他几个项目，该项目由于包含计算机科学系，教授比较多，方向比较全
    * 需要套磁，研究型导向，可以留组读博，提交申请后没有面试（但是可能套磁的教授会与你有私人面试，面试通过后才会同意你申请）
    * 日本有不错的名声，日本求职认可度高
    * 体验日本文化（如果你不喜欢，这就是一个扣分项），相对宽松的永居政策
    * 矢上校区位于神奈川县横滨市，但得益于日本东京交通复杂的轨道交通，去东京非常方便","* 语言成绩支持提交托福和雅思成绩。但是请注意，该项目强制提交 GRE 成绩
    * 不会日语的话，在日本生活比较麻烦
    * 排名较低
    * 申请需要写研究计划书，需要自行联系教授套磁",全看你和目标教授有没有缘分，只要教授同意你入学，申请成功概率比较高，录取偏好基本取决于教授个人,0,null,* 需要得到教授的内诺才能提交申请，需要邮寄材料,"* 由于日本大学的特殊划分院系的方法，你的意向方向的教授不一定在 情报工学科 (Information and Computer Science)，建议从整个理工学研究科页面检索你感兴趣的教授
    * 警惕海王教授"
Keio KMD,Keio,日韩/其他,TX,2年,EN/JP,Master of Media Design,否,是,申请时没有，入学后可以申请（较少）,null,"* 一年多次申请机会，可以选择 4 月（仅日文项目）或 9 月入学（仅英文项目）。语言成绩比较宽松，英文项目支持托福、托业、雅思成绩，日文项目支持 JLPT N1 成绩
    * 不用陶瓷，研究型导向，可以留组读博，庆应义塾大学在人机交互方向的研究在日本较为知名
    * 日本有不错的名声，日本求职认可度高
    * 体验日本文化（如果你不喜欢，这就是一个扣分项），相对宽松的永居政策
    * 交叉学科，可以转码
    * 可以申请 CEMS 项目（日本只有庆应大学这一所大学的三个研究科有这个项目），有机会第二年出国读一年后获得双学位（本校的媒体设计和合作校的管理学，往年分到的合作校有 LSE）
    * 日吉校区位于神奈川县横滨市，但得益于日本东京复杂的轨道交通，去东京非常方便","* 学费偏贵，在日本私立学校学费也属于最贵的水平（一年200万日元）
    * 授予的学位并不是 CS 学位
    * 不会日语的话，在日本生活比较麻烦
    * 排名较低
    * 申请需要写一份小论文，并且有一次书类选考（根据提交的小论文的质量和个人BG筛选一次），筛选后还有一次面试也会筛选人
    * 科研水平较低（虽然HCI方向庆应在日本比较有名，但是本身日本CS整体的研究和国际相比就显得非常一般）",该研究科对 BG 并不是特别在意，主要看提交的小论文和面试表现,0,null,null,"* 注意 4 月入学仅能使用日语成绩申请，9 月入学仅能使用英语成绩申请
    * 24 年入学的申请人数激增，谨慎报考"
Keio SDM,Keio,日韩/其他,TX,2年,EN/JP,Master of System Design and Management,否,是,申请时没有，入学后可以申请（较少）,null,"* 一年多次申请机会，可以选择4月或9月入学。语言成绩比较宽松，英语成绩或日语成绩任选提交
    * 需要套磁，研究型导向，可以留组读博
    * 日本有不错的名声，日本求职认可度高
    * 体验日本文化（如果你不喜欢，这就是一个扣分项），相对宽松的永居政策
    * 交叉学科，可以转码（？）
    * 日吉校区位于神奈川县横滨市，但得益于日本东京复杂的轨道交通，去东京非常方便","* 学费偏贵，在日本私立学校学费也属于最贵的水平（一年200万日元）
    * 授予的学位并不是 CS 学位，由于是复合研究科，可能需要上一些文科课程
    * 不会日语的话，在日本生活比较麻烦
    * 排名较低
    * 申请需要写研究计划书，需要自行联系教授套磁，并且有一次书类选考（根据提交的研究计划书的质量和个人BG筛选一次），筛选后还有一次面试也会筛选人
    * 科研水平较低",全看你和目标教授有没有缘分，只要教授同意你入学，申请成功概率比较高，录取偏好基本取决于教授个人,0,null,* 需要得到教授的内诺才能提交申请，需要邮寄材料,* 不建议背景为 CS 的同学主力申请，仅建议转码的同学申请
L'X AiViC,L'X,未分类,TX,null,null,null,null,null,null,null,"* 师资强大，M1和X的工程师一起上课，M2的课程会请领域的大牛上课
    * 在3d视觉，计算机图形学方向师资力量非常好，直系领导maks是该领域大牛
    * 地处帕莱索高原，毗邻Sacaly等科研单位，科研资源丰富，离市中心一个半小时轨道交通
    * 项目两年，每年三个学期，每年最后一个学期实习（research oriented），适合后边读博。
    * 法国居留政策很宽松
    * 国际化程度好，同学背景强，M1 18人，4中国人，5俄罗斯人，2埃及人，2意大利人，1挪威人，1美国人，1法国人，1法国+俄罗斯人，1印度人
    * 第一年中国人基本住宿包分配，宿舍在校园内
    * 课程种类多，必修课里包含了体育，人文，管理课
    ","* 隶属于IP Paris，排名高但是法国学校由于不断重组过于混乱
    * X的水平近些年在走下坡路
    * 和工程师一起上课，工程师基础知识很扎实，课程难度上偏高
    * 商科管理课浪费时间，但是是必修
    * 名字是人工智能和先进视觉计算，但是计算机视觉的课在第一年只有一节，有两节是计算机图形学的课，虽然是x非常强悍的方向但是不利于找工作
    * 部分选课课程设置不好，比如有一个section必须三选一，三个课程一个是没人用的古老语言，一个是非常难的信号课，还有一个是基本所有master都会挂的拓扑
    * 授课教师的英语有法语口音，需要时间适应
    * 奖学金m1同专业很多人都有，但是中国人一个都没有
    ",有海外经历的最好，案例比较少，录取很玄学,1,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '海本', '本科专业': 'SE', 'GPA/Rank': '3.4/4.0', '科研经历': '无成果科研一段', '实习经历': '两端', '其他（语言/推荐信）': 'IELTS 6.5'}]","* 推荐信是网推
    * 需要填写对应的personal statement的表格，格式很奇怪，字数要求很变态，只写关键点都不够","* 项目会有面试
    * 一共四轮申请"
TUM CS,TUM,欧洲,TX,1.5-2.5年,EN,Master of Science,否,是,德意志奖学金,null,"* 项目方向众多，选课方向广
    * 系统与LMU互通，可以选LMU的相关课程
    * 慕尼黑纬度低，气候温暖适宜
    * 学校综合排名高，国内名气大，回国认可度更高
    * 公式化录取，申请前基本即可确定能否被录取
    * 不看本科背景，符合要求即录取
    * 德国居留政策好，工作机会多
    * 安全系数高，人身安全得以保证
    * 选课时间自由，哪怕课程时间冲突也可以一起选
    ","* 需要额外强制购买保险，每月120欧左右
    * 从2024年4月开始收学费，Master约 2-6k €/学期
    * 需要APS审核，流程较为复杂
    * 需要GRE成绩，且强制要求writing 4.0
    * 项目人数众多，大锅饭
    * 申请十分卡课程匹配度，其中关于函数式编程与验证的知识很少有陆本学校涉及（详见注意事项）
    * 申请需要提交特定主体论文，1000词以下，较为复杂
    * 容易延毕，但也可能提前毕业。神犇1.5年即可完成学业，大部分2.5年才能
    * 学校为夏季和冬季学期，天然没有复活节假期（于春假重合），不利于和朋友约旅游
    * 慕尼黑房源较紧张，租房成本较高
    ",按照最新的匹配度要求，只要匹配度达标则成绩并不重要。若匹配度不达标则成绩再高也没有用。,1,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': 'LMU Munich', '本科专业': 'CS+NLP', 'GPA/Rank': '1.14/1.0', '科研经历': '1段校内', '实习经历': '无', '其他（语言/推荐信）': '论文是英语写的，不用提交英语成绩'}]","* 德国的Informatik/informatic就是计算机科学专业
    * 论文不要用chatGPT写，也不要抄袭",23 winter修改了相应的录取标准，使陆本学生难以通过第一轮筛选; 24 winter该标准再次被修改，使陆本学生更有可能进入下一轮筛选，详见[该文章](https://zhuanlan.zhihu.com/p/599460721)
University of Bonn CS,University,欧洲,TX,2年,EN,master of science,否,否,null,null,"* 免学费，每学期300欧左右的行政费
    * 欧洲少见的以研究为重点的硕士项目，可以类比为香港的Mphil
    * 周围研究所众多，进入研究所以及Phd机会大
    * 波恩风景优美，距离科隆很近，适合电竞观众
    * 生活成本低
    * 德国居留政策友好
    * 安全得以保证
    ","* 学校研究方向较少，只有Algorithmics，Graphics/Vision/Audio，Information and Communication Management以及Intelligent Systems四个方向
    * QS排名低，有回国意向慎选
    * 需要APS，流程复杂
    * 需要fyp为研究型
    ",有研究经历,0,null,需要提交fyp的研究报告，并且需要阅读学校教授的论文并指出自己对哪一方面感兴趣,null
University of Stuttgart CS,University,欧洲,TX,2年,EN,Master of Science,否,是,null,null,"* 学费低，1500欧/学期
    * 周围企业众多，就业环境好
    * 纬度低，气候较为温暖
    * 可视化方向欧洲第一世界第三！！！
    * 招生人数少（官网数据30-40一年），油管上有在读印度老哥表示他同届只有不到20人，相比英授InfoTech项目一届有120人左右，以及德授Informatik一届有80人左右
    * 德国居留政策好
    * 德国英语普及率较低，推荐学习德语
    * 有转学进入TUM，TUB等德国名校的机会
    ","* qs排名低，考虑回国慎选
    * 需要APS，流程相对麻烦
    * 学校方向很少，只有Autonomous Systems，Service Technology 以及Visual Computing 3个方向
    ",null,1,"[{'录取时间': '24ws', '录取结果': 'AD', '学校（档次）': '北京邮电大学', '本科专业': '软件工程', 'GPA/Rank': '86', '科研经历': 'hci方向水科研', '实习经历': '前端切图实习', '其他（语言/推荐信）': '7.5(5.5)'}]",null,null
UTokyo CS,UTokyo,日韩/其他,TX,2年,EN,CS Msc (コンピュータ科学),否,是,null,null,"* 优异的QS排名，国内不错的名声
    * 科研导向，有更多时间科研
    * 体验日本文化（如果你不喜欢，这就是一个扣分项）
    * 相对宽松的永居政策
    ","* 不会日语的话，在日本生活比较麻烦
    ",有着独特的基于考试的选拔机制，具体请参看东京大学官网。,0,null,null,null
UZH AI,UZH,欧洲,TX,null,null,null,null,null,null,null,null,null,null,0,null,null,null
UZH CS,UZH,欧洲,TX,理论两年,EN,Master of Science,否,是,null,null,"* 学费便宜 (< 1k CHF)
    * 苏黎世整体相对安全
    * 可以选ETH的课抵核心课和选修课的学分，能够用上ETH和UZH两边的资源
    * 有五个major，转major和minor都比较自由 (https://www.ifi.uzh.ch/en/studies/msc.html):
        * Information Systems
        * Software Systems
        * People-Oriented Computing
        * Data Science
        * Artificial Intelligence
    ","* 没有强制实习，瑞士实习/工作难度较高
    * 苏黎世生活成本较高
    * 大量同学被要求补本科学分，本科课程难度较高，两年内如果不能补完会被清退
    * 很少有人能2年毕业
    * 2024年排名跌出前100，且有下降趋势
    ","匹配度要求很高，转专业的也有可能拿到offer，但是会被要求补本科学分。
    个人掌握数据也不多，匹配度相比于德国没那么严格。更看重GPA，院校层次。",1,"[{'录取时间': '22Fall', '录取结果': 'AD', '学校（档次）': '211', '本科专业': '计算机', 'GPA/Rank': '85', '科研经历': '一段校内无产出', '实习经历': '一段国内大厂', '其他（语言/推荐信）': '雅思7，推荐信无'}]","课程描述一定要好好写，争取做到不补学分 :)
    ETH开始限制10043了，不知道后续UZH会不会也卡
    UZH是一个major下面会有好几个分支，学位都是信息学硕士。DS,Informatics,AI都是在Informatics下面。",null
UZH DS,UZH,欧洲,TX,null,null,null,null,null,null,null,null,null,null,0,null,null,null
Waseda AO,Waseda,日韩/其他,TX,2年,EN/JP,Master of Engineering,否,是,见下文,null,"* 一年两次申请机会，可以选择 4 月或 9 月入学。英语成绩要求比较宽松，支持托福、托业、雅思成绩
    * 相比于 IPS，该项目由于包含计算机科学系，教授比较多，方向比较全
    * 需要套磁，研究型导向，可以留组读博，提交申请后基本没有面试（但是可能套磁的教授会与你有私人面试，面试通过后才会同意你申请。同时不同系有不同要求，有的系可能有教务面但是很少）
    * 日本有不错的名声，日本求职认可度高
    * 体验日本文化（如果你不喜欢，这就是一个扣分项），相对宽松的永居政策
    * 地处东京，交通便利","* 该项目 9 月入学的第一轮申请申请包含 MEXT 奖学金，但是由于中国不在日本文部省奖学金对象国家列表里，因此中国人不允许提交第一批申请，据说多年前（当时并未标注不允许第一轮申请）的时候有中国人申请并获得奖学金的案例，但是不推荐。入学后可以申请其他奖学金（较少）
    * GRE 成绩为选择性提交，部分教授可能要求必须提交 GRE 成绩
    * 不会日语的话，在日本生活比较麻烦
    * 排名较低
    * 东京生活成本较高
    * 申请需要写研究计划书，需要自行联系教授套磁",全看你和目标教授有没有缘分，只要教授同意你入学，申请成功概率比较高，录取偏好基本取决于教授个人,0,null,* 需要得到教授的内诺才能提交申请，需要邮寄材料,"* 由于日本大学的特殊划分院系的方法，你的意向方向的教授不一定在 情报理工学科 (Computer Science)，建议从整个理工学术院检索你感兴趣的教授，例如机器人方向的教授大部分都在机械系，也有研究 CV 和 NLP 的教授在通信系或机械系
    * 警惕海王教授"
Waseda IPS,Waseda,日韩/其他,TX,2年,EN,Master of Engineering,否,是,较少,null,"* 不需要面试和参加考试，一年多次申请机会
    * 国内和日本有不错的名声
    * 体验日本文化（如果你不喜欢，这就是一个扣分项）
    * 相对宽松的永居政策
    * 日本就业相对容易（？）
    * 凭借英语六级成绩就可以申请（仅限协定校）
    * 门槛较低（如果本科学校是协议校，只要GPA别太差，基本都能录）
    * 协定校的学生，在与校内“指定联系人”取得联系的情况下，可申请 G-Course 或 F-Course
    * G-Course 为协定校的 3+2 项目，本科大四时即可赴日读硕士一年级（同步完成本科毕业设计，需要回国答辩），本科毕业一年后即可获得硕士学位
    * F-Course 为协定校的 1+1 项目，于国内读硕士一年，硕士二年级赴日读研
    * 北九州生活成本较低","* 不会日语的话，在日本生活比较麻烦
    * 排名较低
    * 需要写研究计划书和毕设论文简介，还需要邮寄某些文件，流程比较繁琐
    * 位于北九州郊区，地理位置比较荒凉
    * 不同研究室的导师对学生的要求差异较大（有的很严格，有的纯放养）
    * 排名较低
    * 科研水平较低（对于国内川大，电子科大，上海交通等协议校来的同学可能比较“亏”）","* 非常玄学的选拔机制，录取的同学有GPA3.7的，也有刚超过3.0的。当然在录取上偏向协定校。
    * 据 Waseda IPS 教授介绍，研究计划书及其与实验室工作的契合度是录取过程中最关键的因素，其次才是 GPA。
    * (25fall) 录取概率正在明显降低，目前 985 协定校申请较为容易，211 协定校录取率明显降低。非协定校学生录取率在 25% 以下。",2,"[{'录取时间': '24fall', '录取结果': 'AD', '学校（档次）': '中流211', '本科专业': 'CS', 'GPA/Rank': '前25%', '科研经历': '无', '实习经历': '一段大厂，一段中厂', '其他（语言/推荐信）': '雅思7'}, {'录取时间': '25fall', '录取结果': 'AD (G-Course)', '学校（档次）': '中上985', '本科专业': 'CS', 'GPA/Rank': '前45%，3.6/4.0', '科研经历': '一段校内，有国奖', '实习经历': '无', '其他（语言/推荐信）': 'CET-6 550+，推荐信*1'}]","* 需要写研究计划书和毕设论文简介（G-Course需要写研究计划书 + 本科研究经历）
    * 需要邮寄，其中包括雅思成绩单原件",null
